2020-02-25 12:44:28|中海龙湾半岛  套三双卫  朝南对中庭  位置安静
2020-02-25 12:44:28|居家装修套二、不临街、客厅带阳台
2020-02-25 12:44:28|卫欣苑，标准套三，有装修，户型方正采光好
2020-02-25 12:44:28|花间兰庭 电梯 不临街 两室一厅
2020-02-25 12:44:28|兴元嘉园 电梯套四 带花园 客厅带阳台
2020-02-25 12:44:28|双楠映象 套三 客厅朝西南 一梯两户 客厅有阳台
2020-02-25 12:44:28|电梯套二 中庭朝南 客厅有阳台 明厨明卫
2020-02-25 12:44:28|套二改套三，有装修，电梯四楼，采光不错。
2020-02-25 12:44:28|溢阳绿城 多层套三 装修保养好，户型方正
2020-02-25 12:44:28|会所花园 套三 有装修 有家具家电
2020-02-25 12:44:28|中华名园二期 套二 有装修有阳台
2020-02-25 12:44:28|常春藤花园 套三 有装修 不临街朝东
2020-02-25 12:44:28|黉门公馆，跃层套二，客厅卧室带生活阳台
2020-02-25 12:44:28|一环边，罗浮世家二期，对中庭，正南向
2020-02-25 12:44:28|美好时光 标准套三 东北朝向 采光好
2020-02-25 12:44:28|成都A区套二，跃层的，双卫的。
2020-02-25 12:44:28|竹韵天府  套四   有装修  有阳台
2020-02-25 12:44:28|林荫街9号 中楼层 三居室 安静不临街
2020-02-25 12:44:28|维港 套二有装修 客厅带大阳台 东南朝向  采光好
2020-02-25 12:44:28|川大新南村     户型方正套三     不临街
2020-02-25 12:44:28|上锦雅筑套二，有装修  带阳台
2020-02-25 12:44:28|芳草地 多层 中间楼层 套四  不临街
2020-02-25 12:44:28|颐和雅居套三双卫有装修 客厅带阳台
2020-02-25 12:44:28|天竺丽苑  电梯套三双卫  有装修
